company_name,raw_name,isin,sector,symbol,ticker,tradable
LTIMINDTREE LIMITED,LTIMINDTREE LIMITED,INE214T01019,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",LTM,LTM.NS,Y
MALCO ENERGY LIMITED,MALCO ENERGY LIMITED,INE704J01044,EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS,,,N
MUTHOOT FINANCE LIMITED,MUTHOOT FINANCE LIMITED,INE414G01012,BANKING & FINANCE,MUTHOOTFIN,MUTHOOTFIN.NS,Y
PIDILITE INDUSTRIES LTD,PIDILITE INDUSTRIES LTD.,INE318A01026,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,PIDILITIND,PIDILITIND.NS,Y
POWER FINANCE CORPORATION LTD,POWER FINANCE CORPORATION LTD.,INE134E01011,BANKING & FINANCE,PFC,PFC.NS,Y
SIEMENS ENERGY INDIA LIMITED,SIEMENS ENERGY INDIA LIMITED,INE1NPP01017,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",ENRIN,ENRIN.NS,Y
SOLAR INDUSTRIES INDIA LIMITED,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,SOLARINDS,SOLARINDS.NS,Y
SONA BLW PRECISION FORGINGS LIMITED,SONA BLW PRECISION FORGINGS LIMITED,INE073K01018,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",SONACOMS,SONACOMS.NS,Y
SUDEEP PHARMA LIMITED,SUDEEP PHARMA LIMITED,INE0QPI01025,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",SUDEEPPHRM,SUDEEPPHRM.NS,Y
TALWANDI SABO POWER LIMITED,TALWANDI SABO POWER LIMITED,INE694L01019,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",,,N
TATA POWER CO. LTD,TATA POWER CO. LTD.FV-1,INE245A01021,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",TATAPOWER,TATAPOWER.NS,Y
TVS MOTOR CO.LTD,TVS MOTOR CO.LTD,INE494B01023,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,TVSMOTOR,TVSMOTOR.NS,Y
UNITED SPIRITS LIMITED,UNITED SPIRITS LIMITED.FV-2,INE854D01024,MANUFACTURE OF BEVERAGES,UNITDSPR,UNITDSPR.NS,Y
VEDANTA ALUMINIUM METAL LIMITED,VEDANTA ALUMINIUM METAL LIMITED,INE1CDF01017,MANUFACTURE OF BASIC METALS,,,N
VEDANTA IRON AND STEEL LIMITED,VEDANTA IRON AND STEEL LIMITED,INE1CLE01013,MINING OF METAL ORES,,,N
VEDANTA LIMITED,VEDANTA LIMITED,INE205A01025,MANUFACTURE OF BASIC METALS,VEDL,VEDL.NS,Y
CESC LTD,CESC LTDFV-1,INE486A01021,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",CESC,CESC.NS,Y
COAL INDIA LTD,COAL INDIA LTD.,INE522F01014,MINING OF COAL AND LIGNITE,COALINDIA,COALINDIA.NS,Y
CREDITACCESS GRAMEEN LIMITED,CREDITACCESS GRAMEEN LIMITED,INE741K01010,BANKING & FINANCE,CREDITACC,CREDITACC.NS,Y
ELIN ELECTRONICS LIMITED,ELIN ELECTRONICS LIMITED,INE050401020,MANUFACTURE OF ELECTRICAL EQUIPMENT,ELIN,ELIN.NS,Y
EQUITAS SMALL FINANCE BANK LTD,EQUITAS SMALL FINANCE BANK LTD.,INE063P01018,BANKING & FINANCE,EQUITASBNK,EQUITASBNK.NS,Y
GE VERNOVA T&D INDIA LTD,GE VERNOVA T&D INDIA LTD,INE200A01026,MANUFACTURE OF ELECTRICAL EQUIPMENT,GVT&D,GVT&D.NS,Y
HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED,INE158A01026,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,HEROMOTOCO,HEROMOTOCO.NS,Y
HITACHI ENERGY INDIA LTD,HITACHI ENERGY INDIA LTD.,INE07Y701011,MANUFACTURE OF ELECTRICAL EQUIPMENT,POWERINDIA,POWERINDIA.NS,Y
IPCA LABORATORIES LIMITED,IPCA LABORATORIES LIMITEDFV-1,INE571A01038,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",IPCALAB,IPCALAB.NS,Y
ITC HOTELS LTD,ITC HOTELS LTD,INE379A01028,ACCOMMODATION,ITCHOTELS,ITCHOTELS.NS,Y
MPHASIS LTD,MPHASIS LTD.,INE356A01018,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",MPHASIS,MPHASIS.NS,Y
PB FINTECH LIMITED,PB FINTECH LIMITED,INE417T01026,INFORMATION SERVICE ACTIVITIES,POLICYBZR,POLICYBZR.NS,Y
PNB HOUSING FINANCE LIMITED,PNB HOUSING FINANCE LIMITED,INE572E01012,BANKING & FINANCE,PNBHOUSING,PNBHOUSING.NS,Y
RR KABEL LIMITED,RR KABEL LIMITED,INE777K01022,MANUFACTURE OF ELECTRICAL EQUIPMENT,RRKABEL,RRKABEL.NS,Y
UNION BANK OF INDIA,UNION BANK OF INDIA,INE692A01016,BANKING & FINANCE,UNIONBANK,UNIONBANK.NS,Y
CONTAINER CORPORATION OF INDIA LTD,CONTAINER CORPORATION OF INDIA LTD.FV-5,INE111A01025,LAND TRANSPORT AND TRANSPORT VIA PIPELINES,CONCOR,CONCOR.NS,Y
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,INE299U01018,MANUFACTURE OF ELECTRICAL EQUIPMENT,CROMPTON,CROMPTON.NS,Y
DABUR INDIA LTD,DABUR INDIA LTD.,INE016A01026,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,DABUR,DABUR.NS,Y
HAVELLS INDIA LTD,HAVELLS INDIA LTDFV-1,INE176B01034,MANUFACTURE OF ELECTRICAL EQUIPMENT,HAVELLS,HAVELLS.NS,Y
ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,INE765G01017,BANKING & FINANCE,ICICIGI,ICICIGI.NS,Y
PAGE INDUSTRIES,PAGE INDUSTRIES,INE761H01022,MANUFACTURE OF WEARING APPAREL,PAGEIND,PAGEIND.NS,Y
S K F INDIA LTD,S K F INDIA LTD,INE640A01023,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,SKFINDIA,SKFINDIA.NS,Y
SKF INDIA (INDUSTRIAL) LIMITED,SKF INDIA (INDUSTRIAL) LIMITED,INE2J8701016,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,SKFINDUS,SKFINDUS.NS,Y
JUBILANT FOODWORKS LTD,JUBILANT FOODWORKS LTDFV-2,INE797F01020,FOOD AND BEVERAGE SERVICE ACTIVITIES,JUBLFOOD,JUBLFOOD.NS,Y
RBL BANK LIMITED,RBL BANK LIMITED,INE976G01028,BANKING & FINANCE,RBLBANK,RBLBANK.NS,Y
CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED,CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED,INE647U01026,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",CLEANMAX,CLEANMAX.NS,Y
FRACTAL ANALYTICS LIMITED,FRACTAL ANALYTICS LIMITED,INE212S01015,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",FRACTAL,FRACTAL.NS,Y
GO FASHION (INDIA) LTD,GO FASHION (INDIA) LTD.,INE0BJS01011,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",GOCOLORS,GOCOLORS.NS,Y
